"name";"group";"size"
"Maxime Lenormand";1;52
"Jose Javier Ramasco";1;19
"Thomas Louail";1;8
"Marc Barthelemy";1;8
"Oliva García Cantú Ros";1;5
"Ricardo Herranz";1;5
"Enrique Frias-Martinez";1;5
"Sylvie Huet";1;4
"Guillaume Deffuant";1;5
"Antonia Tugores";1;4
"Floriana Gargiulo";1;4
"Maxi San Miguel";1;3
"Bruno Gonçalves";1;3
"Aleix Bassolas";1;4
"Franck Jabot";1;1
"Ronaldo Menezes";1;1
"Hugo S Barbosa";1;1
"Gourab Ghoshal";1;1
"Marcello Tomasini";1;1
"Filippo Simini";1;1
"Pere Colet";1;2
"Thibaut Dubernet";1;1
"Tomás Ruiz";1;1
"Maria Henar Salas Olmedo";1;1
"Fabio Lamanna";1;2
"Gustavo Romanillos Arroyo";1;1
"Sandra Luque";1;11
"Guillaume Papuga";1;3
"Pablo Fleurquin";1;1
"Victor M Eguiluz";1;1
"Ulrike Tappeiner";1;1
"Johannes Langemeyer";1;1
"Juraj Lieskovsky";1;1
"Uta Schirpke";1;1
"Inge Aalders";1;1
"Giuca Relu Constantin";1;1
"Leena Kopperoinen";1;1
"Eszter Lelleiné Kovács";1;1
"Serban Chivulescu";1;1
"Jiska van Dijk";1;1
"Mattia Mazzoli";1;1
"Andrea Apolloni";1;1
"Renaud Lancelot";1;1
"Camille Jahel";1;1
"Riccardo Gallotti";1;1
"Alexandre G Evsukoff";1;1
"Horacio Samaniego";1;1
"Yuna Chiffoleau";1;1
"Olivier Billaud";1;1
"Alex Molas Martin";1;1
"Charlotte James";1;1
"Maxence Soubeyrand";1;1
"Nicolas Dubos";1;1
"Pierre Denelle";1;1
"Vinícius da Fonseca Vieira";1;1
"Clémentine Préau";1;1
"Philip K Roche";1;1
"Sophie Monsarrat";1;1
"Julien Cappelle";1;1
"Annelise Tran";1;1
"Alexandre Caron";1;1
"François Roger";1;1
"Julie Vallée";1;1
"Marine Le Louarn";1;1
"Samuel Alleaume";1;1
"Roel May";1;1
"Antoine Guisan";1;1
"Leandro Castello";1;1
"Thierry Oberdorff";1;1
"Julien Tournebize";1;1
"Jan Dick";1;1
"Moacyr Silva";1;1
"Omar Baqueiro";1;1
"Florent Saucède";1;1
"Jean-Baptiste Féret";1;1
"Boris Leroy";1;1
"Sylvain Moulherat";1;1
"Alison C Smith";1;1
"Marie Ange Ngo Bieng ";1;1
"Eduardo Chacón Madrigal";1;1
"Ruperto Quesada-Monge";1;1
"Marvin Castillo";1;1
"Léa Tardieu";1;1
"Stanislas Rigal";1;1
"Ainārs Auniņš";1;1
"Tristan Bakx";1;1
"Mattia Brambilla";1;1
"Lluís Brotons";1;1
"Tomasz Chodkiewicz";1;1
"Benoît Fontaine";1;1
"Zdenek Faltynek Fric";1;1
"Sergi Herrando";1;1
"Johannes Kamp";1;1
"Mikko Kuussaari";1;1
"Aleksi Lehikoinen";1;1
"Dirk Maes";1;1
"Martin Musche";1;1
"Martina Sasic";1;1
"Schmucki Reto";1;1
"Constanti Stefanescu";1;1
"Nicolas Strebel";1;1
"Nicolas Titeux";1;1
"Chris van Swaay";1;1
